Date,Open,High,Low,Close,Adj Close,Volume,
12.04.1991,20,23.5,20,22.75,13.77,482100,
15.04.1991,23.13,26.13,23.13,26,15.74,392800,
16.04.1991,26,26.38,25,25.13,15.21,384300,
17.04.1991,25.5,26.25,25.5,25.75,15.59,205400,       
18.04.1991,25.75,27.38,25.75,26.63,16.12,214000,
19.04.1991,26.63,26.88,26.13,26.5,16.04,138300,
22.04.1991,26.5,26.5,25.88,25.88,15.67,55100,
23.04.1991,25.88,26.13,25.25,25.75,15.59,123500,
24.04.1991,25.75,26,25,25.75,15.59,65000,
25.04.1991,25.63,25.63,25.25,25.25,15.29,99700,
26.04.1991,25.25,25.5,24.5,24.75,14.98,88600,
29.04.1991,24.75,24.75,22.88,22.88,13.85,78100,
30.04.1991,22.88,23.13,22.63,23,13.93,106200,
01.05.1991,23,25.25,23,25.25,15.29,89300,
02.05.1991,25.25,25.38,24,24,14.53,57500,
03.05.1991,24,24.25,23.25,24.25,14.68,77200,
06.05.1991,24.13,24.13,23.63,24.13,14.61,35800,
07.05.1991,23.5,24,22.38,22.38,13.55,466500,
08.05.1991,22.38,23.88,22.13,23.88,14.45,315900,
09.05.1991,24.13,25.13,24.13,24.88,15.06,324500,
10.05.1991,24.88,25.88,24.88,25.25,15.29,536400,
13.05.1991,25.25,25.75,25.13,25.75,15.59,172600,
14.05.1991,25.75,25.75,25,25,15.14,337400,
15.05.1991,25,25.13,25,25,15.14,545900,
16.05.1991,25.13,25.25,25,25,15.14,128100,
17.05.1991,25,25.13,25,25,15.14,232600,
22.05.1991,24.88,25.13,24.5,24.5,14.83,380800,
23.05.1991,24.25,24.38,23.75,23.88,14.45,466800,
24.05.1991,23.75,24.13,23.75,24,14.53,654600,
28.05.1991,24,24.13,23.88,24,14.53,372800,
29.05.1991,24,24.13,23.75,24,14.53,360100,
30.05.1991,24.13,24.38,23.88,24.25,14.68,4872600,
31.05.1991,24.38,25.25,24.38,25.25,15.29,722000,
03.06.1991,25.25,25.5,25,25.13,15.21,329400,
04.06.1991,24.63,24.75,24.5,24.63,14.91,227200,
05.06.1991,24.63,25.25,24.25,25.13,15.21,910800,
06.06.1991,24.75,25.13,24.63,24.75,14.98,319200,
07.06.1991,24.63,25,24.38,24.75,14.98,249800,
10.06.1991,24.63,24.88,24.5,24.75,14.98,152400,
11.06.1991,25,25.25,24.88,24.88,15.06,1548100,
12.06.1991,24.88,25,24.25,24.25,14.68,200900,
13.06.1991,24.13,24.25,23.75,24,14.53,326200,
14.06.1991,24,24.25,23.88,24.25,14.68,281800,
17.06.1991,24.13,24.5,24,24,14.53,305500,
18.06.1991,23.75,24,23.75,23.88,14.45,336900,
19.06.1991,23.88,23.88,23.13,23.25,14.08,401000,
20.06.1991,23.13,23.38,22.88,23.13,14,241500,
21.06.1991,23.25,23.25,23,23.25,14.08,324300,
24.06.1991,23,23.38,22.63,23,13.93,323500,
25.06.1991,22.88,23,21.88,22.38,13.55,354700,
26.06.1991,22.25,22.38,21.63,22.13,13.4,695700,
27.06.1991,22.25,22.75,22.13,22.63,13.7,199600,
28.06.1991,22.63,23,22.38,22.88,13.85,319700,
01.07.1991,23,23.38,22.75,22.88,13.85,214300,
02.07.1991,22.75,23.38,22.75,23.25,14.08,130800,
03.07.1991,23,23.25,22.88,23.13,14,173500,
05.07.1991,23,23.25,23,23,13.93,44600,
08.07.1991,23.25,23.75,23,23.75,14.38,202300,
09.07.1991,23.75,23.75,23.38,23.5,14.23,191500,
10.07.1991,23.75,24.25,23.25,23.38,14.15,181300,
11.07.1991,23.25,23.63,23.13,23.13,14,103600,
12.07.1991,23.38,23.75,23.13,23.5,14.23,194100,
15.07.1991,23.75,23.75,23.5,23.63,14.3,160100,
16.07.1991,24,24.75,23.88,24.63,14.91,533500,
17.07.1991,24.75,25.13,24.63,25,15.14,250500,
18.07.1991,25.25,25.75,25,25.75,15.59,345900,
19.07.1991,25.5,25.88,25.38,25.5,15.44,210800,
22.07.1991,25.5,26,25.5,25.88,15.67,206200,
23.07.1991,25.88,26.13,25.75,25.88,15.67,479400,
24.07.1991,25.88,26,25.63,25.75,15.59,276700,
25.07.1991,25.63,25.75,25.5,25.75,15.59,153500,
