Index,Date,Open,High,Low,Close,Adj Close,Volume,
0,12/26/1927,17.66,17.66,17.66,17.66,17.66,0,
1,1/2/1928,17.76,17.76,17.55,17.66,17.66,0,
2,1/9/1928,17.5,17.58,17.35,17.58,17.58,0,
3,1/16/1928,17.29,17.48,17.26,17.48,17.48,0,
4,1/23/1928,17.64,17.71,17.52,17.69,17.69,0,
5,1/30/1928,17.49,17.63,17.4,17.4,17.4,0,
6,2/6/1928,17.45,17.55,17.44,17.54,17.54,0,
7,2/13/1928,17.44,17.44,17.04,17.04,17.04,0,
8,2/20/1928,16.95,17.18,16.95,17.18,17.18,0,
9,2/27/1928,17.11,17.3,17.11,17.3,17.3,0,
10,3/5/1928,17.57,17.93,17.57,17.93,17.93,0,
11,3/12/1928,18,18.26,17.92,18.26,18.26,0,
12,3/19/1928,18.36,18.78,18.36,18.78,18.78,0,
13,3/26/1928,19.05,19.28,18.89,19.28,19.28,0,
14,4/2/1928,18.91,19.23,18.91,19.23,19.23,0,
15,4/9/1928,19.27,19.73,19.1,19.73,19.73,0,
16,4/16/1928,19.68,19.68,19.34,19.34,19.34,0,
17,4/23/1928,19.15,19.68,19.15,19.68,19.68,0,
18,4/30/1928,19.75,20.24,19.75,20.24,20.24,0,
19,5/7/1928,20.41,20.41,20.21,20.36,20.36,0,
20,5/14/1928,20.44,20.44,19.92,19.92,19.92,0,
21,5/21/1928,19.63,19.9,19.36,19.9,19.9,0,
22,5/28/1928,19.57,20.07,19.57,20.07,20.07,0,
23,6/4/1928,19.8,19.85,19.37,19.37,19.37,0,
24,6/11/1928,18.68,19.05,18.34,18.74,18.74,0,
25,6/18/1928,18.4,18.57,18.34,18.54,18.54,0,
26,6/25/1928,18.47,19.14,18.47,19.14,19.14,0,
27,7/2/1928,18.98,19.48,18.98,19.39,19.39,0,
28,7/9/1928,19.46,19.46,18.81,18.96,18.96,0,
29,7/16/1928,18.7,19.03,18.7,19.03,19.03,0,
30,7/23/1928,19.12,19.42,19.09,19.42,19.42,0,
31,7/30/1928,19.47,19.47,19.33,19.36,19.36,0,
32,8/6/1928,19.58,19.58,19.25,19.25,19.25,0,
33,8/13/1928,19.29,19.64,19.13,19.64,19.64,0,
34,8/20/1928,19.77,20.34,19.77,20.34,20.34,0,
35,8/27/1928,20.38,20.87,20.38,20.87,20.87,0,
36,9/3/1928,20.97,21.09,20.94,21.09,21.09,0,
37,9/10/1928,20.92,21.16,20.92,21.14,21.14,0,
38,9/17/1928,21.33,21.36,21.18,21.36,21.36,0,
39,9/24/1928,21.43,21.43,21.13,21.14,21.14,0,
40,10/1/1928,21.36,21.36,21.19,21.22,21.22,0,
41,10/8/1928,21.11,21.51,21.11,21.51,21.51,0,
42,10/15/1928,21.65,21.96,21.65,21.96,21.96,0,
43,10/22/1928,21.81,21.99,21.65,21.65,21.65,0,
44,10/29/1928,22,22,21.68,21.95,21.95,0,
45,11/5/1928,22.24,22.55,22.24,22.55,22.55,0,
46,11/12/1928,22.84,23.37,22.84,23.37,23.37,0,
47,11/19/1928,23.37,23.7,23.22,23.7,23.7,0,
48,11/26/1928,23.8,24.28,23.8,24.28,24.28,0,
49,12/3/1928,23.85,23.91,22.36,22.36,22.36,0,
50,12/10/1928,22.31,22.74,22.31,22.53,22.53,0,
51,12/17/1928,22.44,23.33,22.44,23.33,23.33,0,
52,12/24/1928,23.54,23.98,23.44,23.98,23.98,0,
53,12/31/1928,24.35,24.86,24.35,24.85,24.85,0,
54,1/7/1929,24.25,24.58,24.17,24.54,24.54,0,
55,1/14/1929,24.59,24.77,24.23,24.77,24.77,0,
56,1/21/1929,24.86,25.48,24.86,25.48,25.48,0,
57,1/28/1929,25.35,25.84,25.35,25.84,25.84,0,
58,2/4/1929,25.64,25.7,24.44,24.44,24.44,0,
59,2/11/1929,24.98,24.98,24.35,24.35,24.35,0,
60,2/18/1929,24.39,24.86,24.38,24.86,24.86,0,
61,2/25/1929,24.91,25.83,24.91,25.83,25.83,0,
62,3/4/1929,25.49,25.49,24.92,25.31,25.31,0,
63,3/11/1929,24.95,26.08,24.95,26.08,26.08,0,
64,3/18/1929,26.04,26.04,25.55,25.55,25.55,0,
65,3/25/1929,24.51,25.53,24.35,25.53,25.53,0,
66,4/1/1929,24.88,25.3,24.86,25.05,25.05,0,
67,4/8/1929,24.83,25.15,24.63,25.15,25.15,0,
68,4/15/1929,25,25.43,25,25.41,25.41,0,
69,4/22/1929,25.7,25.85,25.58,25.58,25.58,0,
70,4/29/1929,25.53,26.37,25.53,26.37,26.37,0,
71,5/6/1929,26.32,26.34,26.02,26.34,26.34,0,
72,5/13/1929,25.64,26.09,25.64,26.09,26.09,0,
73,5/20/1929,25.39,25.7,24.76,25.12,25.12,0,
74,5/27/1929,24.2,24.83,24.2,24.83,24.83,0,
75,6/3/1929,25.27,25.64,25.27,25.53,25.53,0,
76,6/10/1929,25.27,25.93,25.27,25.93,25.93,0,
77,6/17/1929,26.41,26.62,26.32,26.62,26.62,0,
78,6/24/1929,26.62,27.41,26.62,27.41,27.41,0,
79,7/1/1929,27.77,28.32,27.77,28.32,28.32,0,
80,7/8/1929,28.37,28.57,28.2,28.57,28.57,0,
81,7/15/1929,28.45,28.76,28.45,28.76,28.76,0,
82,7/22/1929,28.43,28.83,28.43,28.66,28.66,0,
83,7/29/1929,28.18,29.56,28.18,29.56,29.56,0,
84,8/5/1929,29.54,29.54,28.38,28.38,28.38,0,
85,8/12/1929,29.27,30.22,29.27,30.22,30.22,0,
86,8/19/1929,30.5,31.09,30.5,31.09,31.09,0,
87,8/26/1929,31.07,31.71,30.99,31.71,31.71,0,
88,9/2/1929,31.82,31.83,31.02,31.83,31.83,0,
89,9/9/1929,31.67,31.67,31.1,31.38,31.38,0,
90,9/16/1929,31.86,31.86,31.39,31.39,31.39,0,
91,9/23/1929,31.38,31.38,30.27,30.27,30.27,0,
92,9/30/1929,30.16,30.2,28.65,28.65,28.65,0,
93,10/7/1929,30.44,30.81,30.27,30.76,30.76,0,
94,10/14/1929,30.55,30.55,28.84,28.84,28.84,0,
95,10/21/1929,27.73,28.27,25.75,26.12,26.12,0,
96,10/28/1929,22.74,24.15,20.43,24.15,24.15,0,
97,11/4/1929,22.88,22.88,20.61,21.18,21.18,0,
98,11/11/1929,19.86,20.3,17.66,20.3,20.3,0,
99,11/18/1929,20.09,21.61,20.09,21.53,21.53,0,
100,11/25/1929,21.28,21.28,20.66,20.92,20.92,0,
101,12/2/1929,20.95,22.45,20.95,22.45,22.45,0,
102,12/9/1929,22.4,22.57,21.17,21.7,21.7,0,
103,12/16/1929,21.33,21.56,20.16,20.16,20.16,0,
104,12/23/1929,20.26,20.84,20.26,20.82,20.82,0,
105,12/30/1929,20.89,21.45,20.89,21.23,21.23,0,
106,1/6/1930,21.5,21.62,21.29,21.55,21.55,0,
107,1/13/1930,21.52,21.65,21.31,21.31,21.31,0,
108,1/20/1930,21.5,22.04,21.5,22.04,22.04,0,
109,1/27/1930,22.21,22.79,22.1,22.79,22.79,0,
110,2/3/1930,22.74,23.31,22.74,22.97,22.97,0,
111,2/10/1930,23.12,23.36,23.12,23.35,23.35,0,
112,2/17/1930,23.26,23.28,22.64,22.92,22.92,0,
113,2/24/1930,22.68,23.28,22.68,23.28,23.28,0,
114,3/3/1930,23.36,23.59,23.36,23.59,23.59,0,
115,3/10/1930,23.67,23.72,23.45,23.45,23.45,0,
116,3/17/1930,23.67,24.29,23.67,24.29,24.29,0,
117,3/24/1930,24.28,24.85,24.25,24.85,24.85,0,
118,3/31/1930,24.15,25.54,24.15,25.54,25.54,0,
119,4/7/1930,25.6,25.92,25.46,25.84,25.84,0,
120,4/14/1930,25.73,25.75,25.56,25.75,25.75,0,
121,4/21/1930,25.29,25.55,25.29,25.32,25.32,0,
122,4/28/1930,24.76,24.9,23.57,23.57,23.57,0,
123,5/5/1930,22.98,23.76,22.98,23.69,23.69,0,
124,5/12/1930,24.09,24.57,24.09,24.28,24.28,0,
125,5/19/1930,23.75,24.03,23.74,24.03,24.03,0,
126,5/26/1930,24.23,24.49,24.23,24.49,24.49,0,
127,6/2/1930,24.4,24.4,23.52,23.52,23.52,0,
128,6/9/1930,22.38,23.01,22.13,22.26,22.26,0,
129,6/16/1930,20.56,20.79,19.86,20.25,20.25,0,
130,6/23/1930,20.09,20.09,19.39,19.81,19.81,0,
131,6/30/1930,20.46,20.46,20.24,20.25,20.25,0,
132,7/7/1930,19.83,20.77,19.83,20.55,20.55,0,
